Result,Toss,Bat,Ground,Type,Selected_team,Other_team
lost,won,1st,Lord's,ODI,England,Sri Lanka
won,won,2nd,Nottingham,ODI,England,Sri Lanka
lost,lost,1st,Nottingham,ODI,Sri Lanka,England
won,won,1st,Manchester,ODI,England,Sri Lanka
lost,lost,2nd,Manchester,ODI,Sri Lanka,England
won,won,2nd,Edinburgh,ODI,Scotland,Ireland
lost,lost,1st,Edinburgh,ODI,Ireland,Scotland
won,lost,1st,Edinburgh,ODI,Sri Lanka,Scotland
lost,won,2nd,Edinburgh,ODI,Scotland,Sri Lanka
won,won,2nd,King City (NW),ODI,Afghanistan,Canada
lost,lost,1st,King City (NW),ODI,Canada,Afghanistan
won,won,1st,Toronto,ODI,Afghanistan,Canada
lost,lost,2nd,Toronto,ODI,Canada,Afghanistan
won,lost,2nd,Pallekele,ODI,Australia,Sri Lanka
lost,won,1st,Pallekele,ODI,Sri Lanka,Australia
won,won,2nd,Harare,ODI,Zimbabwe,Bangladesh
won,won,2nd,Harare,ODI,Zimbabwe,Bangladesh
won,lost,2nd,Hambantota,ODI,Australia,Sri Lanka
lost,won,1st,Hambantota,ODI,Sri Lanka,Australia
won,lost,1st,Harare,ODI,Zimbabwe,Bangladesh
won,lost,1st,Hambantota,ODI,Sri Lanka,Australia
lost,won,2nd,Hambantota,ODI,Australia,Sri Lanka
lost,lost,1st,Bulawayo,ODI,Zimbabwe,Bangladesh
won,lost,2nd,Colombo (RPS),ODI,Australia,Sri Lanka
lost,won,1st,Colombo (RPS),ODI,Sri Lanka,Australia
lost,won,2nd,Bulawayo,ODI,Zimbabwe,Bangladesh
won,won,2nd,Colombo (RPS),ODI,Sri Lanka,Australia
lost,lost,1st,Colombo (RPS),ODI,Australia,Sri Lanka
won,lost,1st,Dublin,ODI,England,Ireland
lost,won,2nd,Dublin,ODI,Ireland,England
won,won,2nd,Southampton,ODI,England,India
lost,lost,1st,Southampton,ODI,India,England
lost,lost,2nd,Bulawayo,ODI,Zimbabwe,Pakistan
won,won,2nd,The Oval,ODI,England,India
lost,lost,1st,The Oval,ODI,India,England
lost,won,1st,Harare,ODI,Zimbabwe,Pakistan
tied,won,2nd,Lord's,ODI,England,India
tied,lost,1st,Lord's,ODI,India,England
won,lost,2nd,The Hague,ODI,Netherlands,Kenya
lost,won,1st,The Hague,ODI,Kenya,Netherlands
won,lost,2nd,The Hague,ODI,Netherlands,Kenya
lost,won,1st,The Hague,ODI,Kenya,Netherlands
lost,won,2nd,Harare,ODI,Zimbabwe,Pakistan
won,won,2nd,Cardiff,ODI,England,India
lost,lost,1st,Cardiff,ODI,India,England
won,lost,1st,Dublin,ODI,Ireland,Canada
lost,won,2nd,Dublin,ODI,Canada,Ireland
won,won,1st,Dublin,ODI,Ireland,Canada
lost,lost,2nd,Dublin,ODI,Canada,Ireland
won,lost,1st,Mirpur,ODI,West Indies,Bangladesh
lost,won,2nd,Mirpur,ODI,Bangladesh,West Indies
won,won,1st,Hyderabad,ODI,India,England
lost,lost,2nd,Hyderabad,ODI,England,India
won,lost,2nd,Mirpur,ODI,West Indies,Bangladesh
lost,won,1st,Mirpur,ODI,Bangladesh,West Indies
won,lost,2nd,Delhi,ODI,India,England
lost,won,1st,Delhi,ODI,England,India
won,won,2nd,Chattogram,ODI,Bangladesh,West Indies
lost,lost,1st,Chattogram,ODI,West Indies,Bangladesh
won,lost,1st,Centurion,ODI,Australia,South Africa
lost,won,2nd,Centurion,ODI,South Africa,Australia
lost,won,1st,Harare,ODI,Zimbabwe,New Zealand
won,lost,2nd,Mohali,ODI,India,England
lost,won,1st,Mohali,ODI,England,India
lost,lost,1st,Harare,ODI,Zimbabwe,New Zealand
won,lost,2nd,Wankhede,ODI,India,England
lost,won,1st,Wankhede,ODI,England,India
won,won,1st,Gqeberha,ODI,South Africa,Australia
lost,lost,2nd,Gqeberha,ODI,Australia,South Africa
won,lost,2nd,Bulawayo,ODI,Zimbabwe,New Zealand
won,lost,1st,Eden Gardens,ODI,India,England
lost,won,2nd,Eden Gardens,ODI,England,India
won,lost,2nd,Durban,ODI,Australia,South Africa
lost,won,1st,Durban,ODI,South Africa,Australia
won,lost,2nd,Dubai (DICS),ODI,Pakistan,Sri Lanka
lost,won,1st,Dubai (DICS),ODI,Sri Lanka,Pakistan
won,won,1st,Dubai (DICS),ODI,Sri Lanka,Pakistan
lost,lost,2nd,Dubai (DICS),ODI,Pakistan,Sri Lanka
won,won,1st,Dubai (DICS),ODI,Pakistan,Sri Lanka
lost,lost,2nd,Dubai (DICS),ODI,Sri Lanka,Pakistan
won,won,1st,Sharjah,ODI,Pakistan,Sri Lanka
lost,lost,2nd,Sharjah,ODI,Sri Lanka,Pakistan
won,lost,2nd,Abu Dhabi,ODI,Pakistan,Sri Lanka
lost,won,1st,Abu Dhabi,ODI,Sri Lanka,Pakistan
won,won,2nd,Cuttack,ODI,India,West Indies
lost,lost,1st,Cuttack,ODI,West Indies,India
won,lost,2nd,Mirpur,ODI,Pakistan,Bangladesh
lost,won,1st,Mirpur,ODI,Bangladesh,Pakistan
won,won,2nd,Visakhapatnam,ODI,India,West Indies
lost,lost,1st,Visakhapatnam,ODI,West Indies,India
won,won,1st,Mirpur,ODI,Pakistan,Bangladesh
lost,lost,2nd,Mirpur,ODI,Bangladesh,Pakistan
won,lost,1st,Ahmedabad,ODI,West Indies,India
lost,won,2nd,Ahmedabad,ODI,India,West Indies
won,won,1st,Chattogram,ODI,Pakistan,Bangladesh
lost,lost,2nd,Chattogram,ODI,Bangladesh,Pakistan
won,won,1st,Indore,ODI,India,West Indies
lost,lost,2nd,Indore,ODI,West Indies,India
won,won,1st,Chennai,ODI,India,West Indies
lost,lost,2nd,Chennai,ODI,West Indies,India
won,won,1st,Paarl,ODI,South Africa,Sri Lanka
lost,lost,2nd,Paarl,ODI,Sri Lanka,South Africa
won,won,2nd,East London,ODI,South Africa,Sri Lanka
lost,lost,1st,East London,ODI,Sri Lanka,South Africa
won,lost,2nd,Bloemfontein,ODI,South Africa,Sri Lanka
lost,won,1st,Bloemfontein,ODI,Sri Lanka,South Africa
won,lost,2nd,Kimberley,ODI,Sri Lanka,South Africa
lost,won,1st,Kimberley,ODI,South Africa,Sri Lanka
won,won,2nd,Johannesburg,ODI,Sri Lanka,South Africa
lost,lost,1st,Johannesburg,ODI,South Africa,Sri Lanka
lost,won,2nd,Dunedin,ODI,Zimbabwe,New Zealand
won,lost,1st,Melbourne,ODI,Australia,India
lost,won,2nd,Melbourne,ODI,India,Australia
lost,won,2nd,Whangarei,ODI,Zimbabwe,New Zealand
won,lost,2nd,Perth,ODI,India,Sri Lanka
lost,won,1st,Perth,ODI,Sri Lanka,India
lost,lost,2nd,Napier,ODI,Zimbabwe,New Zealand
won,lost,1st,Perth,ODI,Australia,Sri Lanka
lost,won,2nd,Perth,ODI,Sri Lanka,Australia
won,lost,2nd,Sharjah,ODI,Pakistan,Afghanistan
lost,won,1st,Sharjah,ODI,Afghanistan,Pakistan
won,lost,2nd,Adelaide,ODI,India,Australia
lost,won,1st,Adelaide,ODI,Australia,India
won,won,1st,Abu Dhabi,ODI,England,Pakistan
lost,lost,2nd,Abu Dhabi,ODI,Pakistan,England
tied,lost,2nd,Adelaide,ODI,India,Sri Lanka
tied,won,1st,Adelaide,ODI,Sri Lanka,India
won,won,1st,Abu Dhabi,ODI,England,Pakistan
lost,lost,2nd,Abu Dhabi,ODI,Pakistan,England
won,lost,2nd,Sydney,ODI,Sri Lanka,Australia
lost,won,1st,Sydney,ODI,Australia,Sri Lanka
won,lost,2nd,Mombasa,ODI,Kenya,Ireland
lost,won,1st,Mombasa,ODI,Ireland,Kenya
won,lost,2nd,Dubai (DICS),ODI,England,Pakistan
lost,won,1st,Dubai (DICS),ODI,Pakistan,England
won,won,1st,Brisbane,ODI,Australia,India
lost,lost,2nd,Brisbane,ODI,India,Australia
won,won,1st,Mombasa,ODI,Ireland,Kenya
lost,lost,2nd,Mombasa,ODI,Kenya,Ireland
won,won,1st,Brisbane,ODI,Sri Lanka,India
lost,lost,2nd,Brisbane,ODI,India,Sri Lanka
won,lost,2nd,Dubai (DICS),ODI,England,Pakistan
lost,won,1st,Dubai (DICS),ODI,Pakistan,England
won,lost,2nd,Hobart,ODI,Sri Lanka,Australia
lost,won,1st,Hobart,ODI,Australia,Sri Lanka
won,lost,2nd,Wellington,ODI,South Africa,New Zealand
lost,won,1st,Wellington,ODI,New Zealand,South Africa
won,won,1st,Sydney,ODI,Australia,India
lost,lost,2nd,Sydney,ODI,India,Australia
won,won,2nd,Hobart,ODI,India,Sri Lanka
lost,lost,1st,Hobart,ODI,Sri Lanka,India
won,won,2nd,Napier,ODI,South Africa,New Zealand
lost,lost,1st,Napier,ODI,New Zealand,South Africa
won,won,1st,Melbourne,ODI,Sri Lanka,Australia
lost,lost,2nd,Melbourne,ODI,Australia,Sri Lanka
won,won,2nd,Auckland,ODI,South Africa,New Zealand
lost,lost,1st,Auckland,ODI,New Zealand,South Africa
won,won,1st,Brisbane,ODI,Australia,Sri Lanka
lost,lost,2nd,Brisbane,ODI,Sri Lanka,Australia
won,lost,2nd,Adelaide,ODI,Sri Lanka,Australia
lost,won,1st,Adelaide,ODI,Australia,Sri Lanka
won,lost,1st,Adelaide,ODI,Australia,Sri Lanka
lost,won,2nd,Adelaide,ODI,Sri Lanka,Australia
won,lost,1st,Mirpur,ODI,Pakistan,Bangladesh
lost,won,2nd,Mirpur,ODI,Bangladesh,Pakistan
won,lost,1st,Mirpur,ODI,India,Sri Lanka
lost,won,2nd,Mirpur,ODI,Sri Lanka,India
won,lost,2nd,Mirpur,ODI,Pakistan,Sri Lanka
lost,won,1st,Mirpur,ODI,Sri Lanka,Pakistan
won,won,2nd,Mirpur,ODI,Bangladesh,India
lost,lost,1st,Mirpur,ODI,India,Bangladesh
won,won,1st,Kingstown,ODI,Australia,West Indies
lost,lost,2nd,Kingstown,ODI,West Indies,Australia
won,lost,2nd,Mirpur,ODI,India,Pakistan
lost,won,1st,Mirpur,ODI,Pakistan,India
won,won,2nd,Kingstown,ODI,West Indies,Australia
lost,lost,1st,Kingstown,ODI,Australia,West Indies
won,won,2nd,Mirpur,ODI,Bangladesh,Sri Lanka
lost,lost,1st,Mirpur,ODI,Sri Lanka,Bangladesh
tied,won,1st,Kingstown,ODI,Australia,West Indies
tied,lost,2nd,Kingstown,ODI,West Indies,Australia
won,lost,1st,Mirpur,ODI,Pakistan,Bangladesh
lost,won,2nd,Mirpur,ODI,Bangladesh,Pakistan
won,lost,1st,Gros Islet,ODI,West Indies,Australia
lost,won,2nd,Gros Islet,ODI,Australia,West Indies
won,lost,1st,Gros Islet,ODI,Australia,West Indies
lost,won,2nd,Gros Islet,ODI,West Indies,Australia
won,lost,2nd,Sharjah,ODI,Netherlands,Afghanistan
lost,won,1st,Sharjah,ODI,Afghanistan,Netherlands
won,won,2nd,Sharjah,ODI,Afghanistan,Netherlands
lost,lost,1st,Sharjah,ODI,Netherlands,Afghanistan
won,lost,2nd,Pallekele,ODI,Pakistan,Sri Lanka
lost,won,1st,Pallekele,ODI,Sri Lanka,Pakistan
won,won,1st,Pallekele,ODI,Sri Lanka,Pakistan
lost,lost,2nd,Pallekele,ODI,Pakistan,Sri Lanka
won,won,1st,Colombo (RPS),ODI,Sri Lanka,Pakistan
lost,lost,2nd,Colombo (RPS),ODI,Pakistan,Sri Lanka
won,lost,1st,Southampton,ODI,England,West Indies
lost,won,2nd,Southampton,ODI,West Indies,England
won,lost,2nd,Colombo (RPS),ODI,Sri Lanka,Pakistan
lost,won,1st,Colombo (RPS),ODI,Pakistan,Sri Lanka
won,won,2nd,The Oval,ODI,England,West Indies
lost,lost,1st,The Oval,ODI,West Indies,England
won,lost,1st,Lord's,ODI,England,Australia
lost,won,2nd,Lord's,ODI,Australia,England
won,lost,2nd,The Oval,ODI,England,Australia
lost,won,1st,The Oval,ODI,Australia,England
won,lost,1st,Dublin,ODI,Ireland,Afghanistan
lost,won,2nd,Dublin,ODI,Afghanistan,Ireland
won,won,2nd,Kingston,ODI,West Indies,New Zealand
lost,lost,1st,Kingston,ODI,New Zealand,West Indies
won,won,2nd,Chester-le-Street,ODI,England,Australia
lost,lost,1st,Chester-le-Street,ODI,Australia,England
won,lost,1st,Kingston,ODI,West Indies,New Zealand
lost,won,2nd,Kingston,ODI,New Zealand,West Indies
won,won,2nd,Manchester,ODI,England,Australia
lost,lost,1st,Manchester,ODI,Australia,England
won,won,2nd,Ayr,ODI,Scotland,Canada
lost,lost,1st,Ayr,ODI,Canada,Scotland
won,lost,1st,Basseterre,ODI,New Zealand,West Indies
lost,won,2nd,Basseterre,ODI,West Indies,New Zealand
won,won,1st,Basseterre,ODI,West Indies,New Zealand
lost,lost,2nd,Basseterre,ODI,New Zealand,West Indies
won,won,1st,Basseterre,ODI,West Indies,New Zealand
lost,lost,2nd,Basseterre,ODI,New Zealand,West Indies
won,won,1st,Hambantota,ODI,India,Sri Lanka
lost,lost,2nd,Hambantota,ODI,Sri Lanka,India
won,lost,2nd,Hambantota,ODI,Sri Lanka,India
lost,won,1st,Hambantota,ODI,India,Sri Lanka
won,lost,2nd,Colombo (RPS),ODI,India,Sri Lanka
lost,won,1st,Colombo (RPS),ODI,Sri Lanka,India
won,lost,2nd,Colombo (RPS),ODI,India,Sri Lanka
lost,won,1st,Colombo (RPS),ODI,Sri Lanka,India
won,won,1st,Pallekele,ODI,India,Sri Lanka
lost,lost,2nd,Pallekele,ODI,Sri Lanka,India
won,won,1st,Sharjah,ODI,Australia,Afghanistan
lost,lost,2nd,Sharjah,ODI,Afghanistan,Australia
won,won,1st,Southampton,ODI,South Africa,England
lost,lost,2nd,Southampton,ODI,England,South Africa
won,lost,2nd,Sharjah,ODI,Australia,Pakistan
lost,won,1st,Sharjah,ODI,Pakistan,Australia
won,lost,2nd,The Oval,ODI,England,South Africa
lost,won,1st,The Oval,ODI,South Africa,England
won,lost,2nd,Abu Dhabi,ODI,Pakistan,Australia
lost,won,1st,Abu Dhabi,ODI,Australia,Pakistan
won,won,2nd,Lord's,ODI,England,South Africa
lost,lost,1st,Lord's,ODI,South Africa,England
won,won,2nd,Sharjah,ODI,Australia,Pakistan
lost,lost,1st,Sharjah,ODI,Pakistan,Australia
won,lost,2nd,Nottingham,ODI,South Africa,England
lost,won,1st,Nottingham,ODI,England,South Africa
won,lost,2nd,Pallekele,ODI,Sri Lanka,New Zealand
lost,won,1st,Pallekele,ODI,New Zealand,Sri Lanka
won,won,2nd,Pallekele,ODI,Sri Lanka,New Zealand
lost,lost,1st,Pallekele,ODI,New Zealand,Sri Lanka
won,won,2nd,Hambantota,ODI,Sri Lanka,New Zealand
lost,lost,1st,Hambantota,ODI,New Zealand,Sri Lanka
won,lost,2nd,Khulna,ODI,Bangladesh,West Indies
lost,won,1st,Khulna,ODI,West Indies,Bangladesh
won,lost,1st,Khulna,ODI,Bangladesh,West Indies
lost,won,2nd,Khulna,ODI,West Indies,Bangladesh
won,won,2nd,Mirpur,ODI,West Indies,Bangladesh
lost,lost,1st,Mirpur,ODI,Bangladesh,West Indies
won,lost,1st,Mirpur,ODI,West Indies,Bangladesh
lost,won,2nd,Mirpur,ODI,Bangladesh,West Indies
won,won,2nd,Mirpur,ODI,Bangladesh,West Indies
lost,lost,1st,Mirpur,ODI,West Indies,Bangladesh
won,won,2nd,Chennai,ODI,Pakistan,India
lost,lost,1st,Chennai,ODI,India,Pakistan
won,lost,1st,Eden Gardens,ODI,Pakistan,India
lost,won,2nd,Eden Gardens,ODI,India,Pakistan
won,won,1st,Delhi,ODI,India,Pakistan
lost,lost,2nd,Delhi,ODI,Pakistan,India
won,won,1st,Melbourne,ODI,Australia,Sri Lanka
lost,lost,2nd,Melbourne,ODI,Sri Lanka,Australia
won,won,1st,Rajkot,ODI,England,India
lost,lost,2nd,Rajkot,ODI,India,England
won,won,2nd,Adelaide,ODI,Sri Lanka,Australia
lost,lost,1st,Adelaide,ODI,Australia,Sri Lanka
won,won,1st,Kochi,ODI,India,England
lost,lost,2nd,Kochi,ODI,England,India
won,lost,2nd,Brisbane,ODI,Sri Lanka,Australia
lost,won,1st,Brisbane,ODI,Australia,Sri Lanka
won,won,2nd,Ranchi,ODI,India,England
lost,lost,1st,Ranchi,ODI,England,India
won,won,2nd,Paarl,ODI,New Zealand,South Africa
lost,lost,1st,Paarl,ODI,South Africa,New Zealand
won,lost,1st,Kimberley,ODI,New Zealand,South Africa
lost,won,2nd,Kimberley,ODI,South Africa,New Zealand
won,lost,1st,Hobart,ODI,Australia,Sri Lanka
lost,won,2nd,Hobart,ODI,Sri Lanka,Australia
won,won,2nd,Mohali,ODI,India,England
lost,lost,1st,Mohali,ODI,England,India
won,lost,2nd,Potchefstroom,ODI,South Africa,New Zealand
lost,won,1st,Potchefstroom,ODI,New Zealand,South Africa
won,won,2nd,Dharamsala,ODI,England,India
lost,lost,1st,Dharamsala,ODI,India,England
won,lost,2nd,Perth,ODI,Australia,West Indies
lost,won,1st,Perth,ODI,West Indies,Australia
won,lost,1st,Perth,ODI,Australia,West Indies
lost,won,2nd,Perth,ODI,West Indies,Australia
won,won,1st,Canberra,ODI,Australia,West Indies
lost,lost,2nd,Canberra,ODI,West Indies,Australia
won,lost,2nd,Sydney,ODI,Australia,West Indies
lost,won,1st,Sydney,ODI,West Indies,Australia
won,lost,1st,Melbourne,ODI,Australia,West Indies
lost,won,2nd,Melbourne,ODI,West Indies,Australia
won,won,2nd,Hamilton,ODI,New Zealand,England
lost,lost,1st,Hamilton,ODI,England,New Zealand
won,won,2nd,Napier,ODI,England,New Zealand
lost,lost,1st,Napier,ODI,New Zealand,England
lost,won,2nd,St George's,ODI,Zimbabwe,West Indies
won,won,2nd,Auckland,ODI,England,New Zealand
lost,lost,1st,Auckland,ODI,New Zealand,England
lost,won,1st,St George's,ODI,Zimbabwe,West Indies
lost,won,1st,St George's,ODI,Zimbabwe,West Indies
won,lost,2nd,Sharjah,ODI,Afghanistan,Scotland
lost,won,1st,Sharjah,ODI,Scotland,Afghanistan
won,won,2nd,Sharjah,ODI,Afghanistan,Scotland
lost,lost,1st,Sharjah,ODI,Scotland,Afghanistan
won,lost,1st,Bloemfontein,ODI,South Africa,Pakistan
lost,won,2nd,Bloemfontein,ODI,Pakistan,South Africa
won,lost,2nd,ICCA Dubai,ODI,Kenya,Canada
lost,won,1st,ICCA Dubai,ODI,Canada,Kenya
won,lost,2nd,ICCA Dubai,ODI,Kenya,Canada
lost,won,1st,ICCA Dubai,ODI,Canada,Kenya
won,lost,2nd,Centurion,ODI,Pakistan,South Africa
lost,won,1st,Centurion,ODI,South Africa,Pakistan
won,lost,1st,Johannesburg,ODI,South Africa,Pakistan
lost,won,2nd,Johannesburg,ODI,Pakistan,South Africa
won,lost,2nd,Durban,ODI,Pakistan,South Africa
lost,won,1st,Durban,ODI,South Africa,Pakistan
won,won,2nd,Hambantota,ODI,Sri Lanka,Bangladesh
lost,lost,1st,Hambantota,ODI,Bangladesh,Sri Lanka
won,lost,2nd,Benoni,ODI,South Africa,Pakistan
lost,won,1st,Benoni,ODI,Pakistan,South Africa
won,lost,2nd,Pallekele,ODI,Bangladesh,Sri Lanka
lost,won,1st,Pallekele,ODI,Sri Lanka,Bangladesh
lost,won,2nd,Bulawayo,ODI,Zimbabwe,Bangladesh
won,won,2nd,Bulawayo,ODI,Zimbabwe,Bangladesh
won,won,2nd,Bulawayo,ODI,Zimbabwe,Bangladesh
won,won,1st,Edinburgh,ODI,Pakistan,Scotland
lost,lost,2nd,Edinburgh,ODI,Scotland,Pakistan
tied,lost,2nd,Dublin,ODI,Ireland,Pakistan
tied,won,1st,Dublin,ODI,Pakistan,Ireland
won,won,2nd,Dublin,ODI,Pakistan,Ireland
lost,lost,1st,Dublin,ODI,Ireland,Pakistan
won,won,1st,Amstelveen,ODI,South Africa,Netherlands
lost,lost,2nd,Amstelveen,ODI,Netherlands,South Africa
won,won,2nd,Lord's,ODI,New Zealand,England
lost,lost,1st,Lord's,ODI,England,New Zealand
won,won,1st,Southampton,ODI,New Zealand,England
lost,lost,2nd,Southampton,ODI,England,New Zealand
won,lost,1st,Nottingham,ODI,England,New Zealand
lost,won,2nd,Nottingham,ODI,New Zealand,England
won,lost,1st,Cardiff,ODI,India,South Africa
lost,won,2nd,Cardiff,ODI,South Africa,India
won,won,2nd,The Oval,ODI,West Indies,Pakistan
lost,lost,1st,The Oval,ODI,Pakistan,West Indies
won,won,1st,Birmingham,ODI,England,Australia
lost,lost,2nd,Birmingham,ODI,Australia,England
won,lost,2nd,Cardiff,ODI,New Zealand,Sri Lanka
lost,won,1st,Cardiff,ODI,Sri Lanka,New Zealand
won,won,1st,Birmingham,ODI,South Africa,Pakistan
lost,lost,2nd,Birmingham,ODI,Pakistan,South Africa
won,won,2nd,The Oval,ODI,India,West Indies
lost,lost,1st,The Oval,ODI,West Indies,India
won,won,2nd,The Oval,ODI,Sri Lanka,England
lost,lost,1st,The Oval,ODI,England,Sri Lanka
tied,lost,1st,Cardiff,ODI,South Africa,West Indies
tied,won,2nd,Cardiff,ODI,West Indies,South Africa
won,won,2nd,Birmingham,ODI,India,Pakistan
lost,lost,1st,Birmingham,ODI,Pakistan,India
won,lost,1st,Cardiff,ODI,England,New Zealand
lost,won,2nd,Cardiff,ODI,New Zealand,England
won,lost,1st,The Oval,ODI,Sri Lanka,Australia
lost,won,2nd,The Oval,ODI,Australia,Sri Lanka
won,won,2nd,The Oval,ODI,England,South Africa
lost,lost,1st,The Oval,ODI,South Africa,England
won,won,2nd,Cardiff,ODI,India,Sri Lanka
lost,lost,1st,Cardiff,ODI,Sri Lanka,India
won,lost,1st,Birmingham,ODI,India,England
lost,won,2nd,Birmingham,ODI,England,India
won,won,2nd,Kingston,ODI,West Indies,Sri Lanka
lost,lost,1st,Kingston,ODI,Sri Lanka,West Indies
won,lost,1st,Aberdeen,ODI,Scotland,Kenya
lost,won,2nd,Aberdeen,ODI,Kenya,Scotland
won,won,2nd,Kingston,ODI,West Indies,India
lost,lost,1st,Kingston,ODI,India,West Indies
won,won,2nd,Aberdeen,ODI,Scotland,Kenya
lost,lost,1st,Aberdeen,ODI,Kenya,Scotland
won,lost,1st,Kingston,ODI,Sri Lanka,India
lost,won,2nd,Kingston,ODI,India,Sri Lanka
won,lost,1st,Port of Spain,ODI,India,West Indies
lost,won,2nd,Port of Spain,ODI,West Indies,India
won,won,1st,Amstelveen,ODI,Ireland,Netherlands
lost,lost,2nd,Amstelveen,ODI,Netherlands,Ireland
won,lost,1st,Port of Spain,ODI,Sri Lanka,West Indies
lost,won,2nd,Port of Spain,ODI,West Indies,Sri Lanka
tied,won,1st,Amstelveen,ODI,Ireland,Netherlands
tied,lost,2nd,Amstelveen,ODI,Netherlands,Ireland
won,lost,1st,Port of Spain,ODI,India,Sri Lanka
lost,won,2nd,Port of Spain,ODI,Sri Lanka,India
won,won,2nd,Port of Spain,ODI,India,Sri Lanka
lost,lost,1st,Port of Spain,ODI,Sri Lanka,India
won,lost,1st,Providence,ODI,Pakistan,West Indies
lost,won,2nd,Providence,ODI,West Indies,Pakistan
won,lost,1st,Providence,ODI,West Indies,Pakistan
lost,won,2nd,Providence,ODI,Pakistan,West Indies
tied,lost,1st,Gros Islet,ODI,Pakistan,West Indies
tied,won,2nd,Gros Islet,ODI,West Indies,Pakistan
won,lost,1st,Colombo (RPS),ODI,Sri Lanka,South Africa
lost,won,2nd,Colombo (RPS),ODI,South Africa,Sri Lanka
won,won,2nd,Gros Islet,ODI,Pakistan,West Indies
lost,lost,1st,Gros Islet,ODI,West Indies,Pakistan
won,won,1st,Colombo (RPS),ODI,Sri Lanka,South Africa
lost,lost,2nd,Colombo (RPS),ODI,South Africa,Sri Lanka
lost,lost,1st,Harare,ODI,Zimbabwe,India
won,won,2nd,Gros Islet,ODI,Pakistan,West Indies
lost,lost,1st,Gros Islet,ODI,West Indies,Pakistan
lost,won,2nd,Harare,ODI,Zimbabwe,India
won,won,1st,Pallekele,ODI,South Africa,Sri Lanka
lost,lost,2nd,Pallekele,ODI,Sri Lanka,South Africa
lost,lost,1st,Harare,ODI,Zimbabwe,India
won,lost,2nd,Pallekele,ODI,Sri Lanka,South Africa
lost,won,1st,Pallekele,ODI,South Africa,Sri Lanka
won,won,1st,Colombo (RPS),ODI,Sri Lanka,South Africa
lost,lost,2nd,Colombo (RPS),ODI,South Africa,Sri Lanka
lost,lost,1st,Bulawayo,ODI,Zimbabwe,India
lost,lost,1st,Bulawayo,ODI,Zimbabwe,India
won,lost,2nd,Harare,ODI,Zimbabwe,Pakistan
lost,won,2nd,Harare,ODI,Zimbabwe,Pakistan
won,won,2nd,King City (NW),ODI,Netherlands,Canada
lost,lost,1st,King City (NW),ODI,Canada,Netherlands
lost,won,2nd,Harare,ODI,Zimbabwe,Pakistan
won,won,2nd,Dublin (Malahide),ODI,England,Ireland
lost,lost,1st,Dublin (Malahide),ODI,Ireland,England
won,lost,1st,Edinburgh,ODI,Australia,Scotland
lost,won,2nd,Edinburgh,ODI,Scotland,Australia
won,lost,2nd,Belfast,ODI,Ireland,Scotland
lost,won,1st,Belfast,ODI,Scotland,Ireland
won,lost,1st,Manchester,ODI,Australia,England
lost,won,2nd,Manchester,ODI,England,Australia
won,lost,2nd,Belfast,ODI,Ireland,Scotland
lost,won,1st,Belfast,ODI,Scotland,Ireland
won,won,2nd,Cardiff,ODI,England,Australia
lost,lost,1st,Cardiff,ODI,Australia,England
won,won,1st,Southampton,ODI,Australia,England
lost,lost,2nd,Southampton,ODI,England,Australia
won,lost,2nd,Sharjah,ODI,Afghanistan,Kenya
lost,won,1st,Sharjah,ODI,Kenya,Afghanistan
won,won,2nd,Sharjah,ODI,Afghanistan,Kenya
lost,lost,1st,Sharjah,ODI,Kenya,Afghanistan
won,won,1st,Pune,ODI,Australia,India
lost,lost,2nd,Pune,ODI,India,Australia
won,lost,2nd,Jaipur,ODI,India,Australia
lost,won,1st,Jaipur,ODI,Australia,India
won,won,2nd,Mohali,ODI,Australia,India
lost,lost,1st,Mohali,ODI,India,Australia
won,lost,1st,Mirpur,ODI,Bangladesh,New Zealand
lost,won,2nd,Mirpur,ODI,New Zealand,Bangladesh
won,won,2nd,Nagpur,ODI,India,Australia
lost,lost,1st,Nagpur,ODI,Australia,India
won,won,1st,Sharjah,ODI,South Africa,Pakistan
lost,lost,2nd,Sharjah,ODI,Pakistan,South Africa
won,won,1st,Mirpur,ODI,Bangladesh,New Zealand
lost,lost,2nd,Mirpur,ODI,New Zealand,Bangladesh
won,won,1st,Dubai (DICS),ODI,Pakistan,South Africa
lost,lost,2nd,Dubai (DICS),ODI,South Africa,Pakistan
won,lost,1st,Bengaluru,ODI,India,Australia
lost,won,2nd,Bengaluru,ODI,Australia,India
won,won,2nd,Fatullah,ODI,Bangladesh,New Zealand
lost,lost,1st,Fatullah,ODI,New Zealand,Bangladesh
won,won,1st,Abu Dhabi,ODI,South Africa,Pakistan
lost,lost,2nd,Abu Dhabi,ODI,Pakistan,South Africa
won,won,1st,Abu Dhabi,ODI,South Africa,Pakistan
lost,lost,2nd,Abu Dhabi,ODI,Pakistan,South Africa
won,won,1st,Sharjah,ODI,South Africa,Pakistan
lost,lost,2nd,Sharjah,ODI,Pakistan,South Africa
won,lost,2nd,Hambantota,ODI,New Zealand,Sri Lanka
lost,won,1st,Hambantota,ODI,Sri Lanka,New Zealand
won,lost,1st,Dambulla,ODI,Sri Lanka,New Zealand
lost,won,2nd,Dambulla,ODI,New Zealand,Sri Lanka
won,lost,2nd,Kochi,ODI,India,West Indies
lost,won,1st,Kochi,ODI,West Indies,India
won,won,2nd,Visakhapatnam,ODI,West Indies,India
